Multiplied Moves: 1520 | Depth: 5| Time: 1 seconds
Multiplied Moves: 1482 | Depth: 5| Time: 1 seconds
Multiplied Moves: 1443 | Depth: 5| Time: 3 seconds
Multiplied Moves: 1554 | Depth: 5| Time: 2 seconds
Multiplied Moves: 1558 | Depth: 5| Time: 2 seconds
Multiplied Moves: 1517 | Depth: 5| Time: 2 seconds
Multiplied Moves: 1681 | Depth: 5| Time: 4 seconds
Multiplied Moves: 1681Multiplied Moves: 1088 | Depth: 5| Time: 0 seconds
Multiplied Moves: 1088 | Depth: 5| Time: 0 seconds
Multiplied Moves: 1120 | Depth: 5| Time: 0 seconds
Multiplied Moves: 1332 | Depth: 5| Time: 0 seconds
Multiplied Moves: 1505 | Depth: 5| Time: 2 seconds
Multiplied Moves: 1470 | Depth: 5| Time: 3 seconds
Multiplied Moves: 1786 | Depth: 5| Time: 1 seconds
Multiplied Moves: 1794 | Depth: 5| Time: 6 seconds
Multiplied Moves: 1560 | Depth: 5| Time: 5 seconds
Multiplied Moves: 1599 | Depth: 5| Time: 2 seconds
Multiplied Moves: 1598 | Depth: 5| Time: 0 seconds
Multiplied Moves: 1554 | Depth: 5| Time: 2 seconds
Multiplied Moves: 1560 | Depth: 5| Time: 4 seconds
Multiplied Moves: 1406 | Depth: 5| Time: 2 seconds
Multiplied Moves: 1480 | Depth: 5| Time: 3 seconds
Multiplied Moves: 1716 | Depth: 5| Time: 2 seconds
Multiplied Moves: 1806 | Depth: 5| Time: 4 seconds
Multiplied Moves: 1804 | Depth: 5| Time: 2 seconds
Multiplied Moves: 1628 | Depth: 5| Time: 2 seconds
Multiplied Moves: 1520 | Depth: 5| Time: 1 seconds
Multiplied Moves: 840Multiplied Moves: 783Multiplied Moves: 930Multiplied Moves: 660Multiplied Moves: 1326 | Depth: 5| Time: 0 seconds
Multiplied Moves: 1404 | Depth: 5| Time: 2 seconds
Multiplied Moves: 1620 | Depth: 5| Time: 5 seconds
Multiplied Moves: 1530Multiplied Moves: 1216 | Depth: 5| Time: 0 seconds
Multiplied Moves: 1216 | Depth: 5| Time: 1 seconds
Multiplied Moves: 1376 | Depth: 5| Time: 0 seconds
Multiplied Moves: 960 | Depth: 6| Time: 9 seconds
Multiplied Moves: 1152 | Depth: 5| Time: 1 seconds
Multiplied Moves: 1116 | Depth: 5| Time: 0 seconds
Multiplied Moves: 1178 | Depth: 5| Time: 0 seconds
Multiplied Moves: 986Multiplied Moves: 1326 | Depth: 5| Time: 0 seconds
Multiplied Moves: 1404Multiplied Moves: 1216 | Depth: 5| Time: 0 seconds
Multiplied Moves: 1216 | Depth: 5| Time: 1 seconds
